ISIN|PANZA L1|PANZA L2|PANZA L3|Name|Subindustry
US70509V1008|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Pebblebrook Hotel Trust|Hotel and Motel Equity REITs
US74965L1017|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|RLJ Lodging Trust|Hotel and Motel Equity REITs
US78377T1079|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Ryman Hospitality Properties, Inc.|Hotel and Motel Equity REITs
SE0007640156|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Scandic Hotels Group AB|Full Service Hotels and Resorts
US8678921011|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Sunstone Hotel Investors, Inc.|Hotel and Motel Equity REITs
US8941641024|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Travel + Leisure Co.|Vacation Ownership Operators
GB00B1KJJ408|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Whitbread PLC|Budget Hotels and Motels
US98311A1051|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Wyndham Hotels & Resorts, Inc.|Mixed-Type Hotels, Motels and Resorts
US9840171030|CONSUMER DISCRETIONARY|TRAVEL|HOTELS|Xenia Hotels & Resorts, Inc.|Hotel and Motel Equity REITs
NL0013267909|INDUSTRIALS|PROCESSED MATERIALS|CHEMICALS|Akzo Nobel NV|Coatings Manufacturing
SE0007100581|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Assa Abloy AB|Locks and Deadbolts Manufacturing
BMG0750C1082|INDUSTRIALS|PROCESSED MATERIALS|CHEMICALS|Axalta Coating Systems Ltd.|Coatings Manufacturing
FR0000125007|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - INDOOR CLIMATE|Cie de Saint-Gobain|Mixed Architecture/Infrastructure Component Makers
SE0000616716|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Duni AB|Multi-Type Home Furnishings Makers
SE0016589188|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Electrolux AB|Major Appliances Manufacturing
SE0015195771|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - INDOOR CLIMATE|Fasadgruppen Group AB|Mixed Architecture/Infrastructure Component Makers
CH0003541510|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Forbo Holding AG|Flooring Manufacturing
GB00BYYW3C20|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Forterra PLC|Concrete Blocks, Bricks and Aggregates Makers
CH0030170408|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Geberit AG|General Architectural Component Manufacturing
GB00BKRC5K31|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Genuit Group PLC|General Architectural Component Manufacturing
CH1169151003|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Georg Fischer AG|Pipes and Pipe Fittings Manufacturing
ANN4327C1220|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Hunter Douglas NV|Other Household Furniture/Accessory Manufacturing
GB00BYXJC278|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Ibstock PLC|Decorative Component Manufacturing
SE0006220018|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - INDOOR CLIMATE|Inwido AB|Windows and Doors Manufacturing
IE0004927939|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - INDOOR CLIMATE|Kingspan Group PLC|Insulation Manufacturing
GB00B012BV22|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Marshalls PLC|General Architectural Component Manufacturing
SE0000949331|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Nobia AB|Cabinets and Countertops Manufacturing
SE0014731089|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Nordic Waterproofing Holding AB|General Architectural Component Manufacturing
US6907421019|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - INDOOR CLIMATE|Owens Corning|Mixed Architecture/Infrastructure Component Makers
US6935061076|INDUSTRIALS|PROCESSED MATERIALS|CHEMICALS|PPG Industries, Inc.|Coatings Manufacturing
DK0010219153|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - INDOOR CLIMATE|ROCKWOOL International A/S|Insulation Manufacturing
US7496851038|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|RPM International Inc.|Multi-Product Adhesive, Sealant and Paint Makers
US8243481061|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Sherwin-Williams Company|General Coatings and Paints Makers
CH0418792922|INDUSTRIALS|PROCESSED MATERIALS|CHEMICALS|Sika AG|Diversified Specialty/Performance Chemicals Makers
DE000A0LR936|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - INDOOR CLIMATE|Steico SE|Insulation Manufacturing
DE0007274136|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|STO SE & Co KGaA|Multi-Product Adhesive, Sealant and Paint Makers
FR0004188670|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Tarkett SA|Flooring Manufacturing
GB00B29H4253|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - INDOOR CLIMATE|Tyman PLC|Windows and Doors Manufacturing
FI0009002158|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Uponor Oyj|General Architectural Component Manufacturing
CH0542483745|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|V-ZUG Holding AG|Major Appliances Manufacturing
GB00BZC0LC10|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Victoria PLC|Textile Furnishing Manufacturing
AT0000831706|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Wienerberger AG|General Architectural Component Manufacturing
DE000A2LQ884|CONSUMER DISCRETIONARY|AUTOS|DISTRIBUTION|Auto1 Group SE|Internet Motor Vehicle Sales
SE0009921588|CONSUMER DISCRETIONARY|AUTOS|DISTRIBUTION|Bilia AB|General Automobile Dealers
BE0974259880|CONSUMER DISCRETIONARY|AUTOS|DISTRIBUTION|D'ieteren Group|New Car Dealers
GB00B012TP20|CONSUMER DISCRETIONARY|AUTOS|DISTRIBUTION|Halfords Group PLC|Automotive Parts and Accessories Stores
GB00B61TVQ02|CONSUMER DISCRETIONARY|AUTOS|DISTRIBUTION|Inchcape PLC|General Automobile Dealers
FI4000206750|CONSUMER DISCRETIONARY|AUTOS|DISTRIBUTION|Kamux Corp|Used Car Dealers
SE0002110064|CONSUMER DISCRETIONARY|AUTOS|DISTRIBUTION|Mekonomen AB|Motor Vehicle Supplies and Parts Distributors
FR0000053027|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|AKWEL|Powertrain Manufacturing
GB00BN7CG237|CONSUMER DISCRETIONARY|AUTOS|OEMs|Aston Martin Lagonda Global Holdings PLC|Conventional Engine Car Manufacturers
CH0127480363|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Autoneum Holding AG|Pan-Powertrain and Chassis Manufacturing
DE0005190003|CONSUMER DISCRETIONARY|AUTOS|OEMs|Bayerische Motoren Werke AG|Conventional Engine Car Manufacturers
DE0005190037|CONSUMER DISCRETIONARY|AUTOS|OEMs|Bayerische Motoren Werke AG|Conventional Engine Car Manufacturers
IT0005252728|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Brembo SpA|Chassis and Body Manufacturing
ES0105630315|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|CIE Automotive SA|Pan-Powertrain and Chassis Manufacturing
FR0000124570|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Cie Plastic Omnium SA|Pan-Powertrain and Chassis Manufacturing
IT0000080447|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|CIR SpA-Compagnie Industriali|General Transportation Equipment Manufacturing
DE0005439004|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Continental AG|Multi-Type Motor Vehicle Parts Manufacturers
DE0007100000|CONSUMER DISCRETIONARY|AUTOS|OEMs|Daimler AG|Conventional Engine Car Manufacturers
SE0007691613|FINANCIALS|INSURANCE|INSURANCE|Dometic Group AB|Diversified Consumer Vehicle Manufacturing
DE0007856023|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|ElringKlinger AG|Powertrain Manufacturing
FR0000121147|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Faurecia SE|Auto Interior Comfort/Safety/Electronics Products
NL0011585146|CONSUMER DISCRETIONARY|AUTOS|OEMs|Ferrari NV|Conventional Engine Car Manufacturers
ES0105223004|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Gestamp Automocion SA|Chassis and Body Manufacturing
DE000A13SX22|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Hella GmbH & Co KGaA|Auto Interior Comfort/Safety/Electronics Products
DE000A2YN504|FINANCIALS|INSURANCE|INSURANCE|Knaus Tabbert AG|Motor Homes and Campers (RVs) Manufacturing
NO0003033102|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Kongsberg Automotive ASA|Multi-Type Motor Vehicle Parts Manufacturers
FR0000121261|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Michelin|General Transportation Equipment Manufacturing
FI0009005318|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Nokian Renkaat Oyj|New Tire Manufacturing
IT0003073266|CONSUMER DISCRETIONARY|AUTOS|OEMs|Piaggio & C SpA|Motorcycle Manufacturing
IT0005278236|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Pirelli & C SpA|New Tire Manufacturing
DE000PAH0038|CONSUMER DISCRETIONARY|AUTOS|OEMs|Porsche Automobil Holding SE|Multi-Type Car Manufacturers
FR0000131906|CONSUMER DISCRETIONARY|AUTOS|OEMs|Renault SA|Conventional Engine Car Manufacturers
DE000SHA0159|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Schaeffler AG|Powertrain Manufacturing
LU1066226637|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Stabilus SA|Chassis and Body Manufacturing
NL00150001Q9|CONSUMER DISCRETIONARY|AUTOS|OEMs|Stellantis NV|Conventional Engine Car Manufacturers
GB00BYQB9V88|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|TI Fluid Systems PLC|Pan-Powertrain and Chassis Manufacturing
FR0005691656|FINANCIALS|INSURANCE|INSURANCE|Trigano SA|Motor Homes and Campers (RVs) Manufacturing
FR0013176526|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Valeo|Other Auto Comfort, Safety and Electronic Products
DE000VTSC017|CONSUMER DISCRETIONARY|AUTOS|SUPPLIERS|Vitesco Technologies Group AG|Auto Interior Comfort/Safety/Electronics Products
DE0007664039|CONSUMER DISCRETIONARY|AUTOS|OEMs|Volkswagen AG|Multi-Type Car Manufacturers
DE0007664005|CONSUMER DISCRETIONARY|AUTOS|OEMs|Volkswagen AG|Multi-Type Car Manufacturers
SE0016844831|CONSUMER DISCRETIONARY|AUTOS|OEMs|Volvo Car AB|Conventional Engine Car Manufacturers
ES0105287009|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Aedas Homes SA|Real Estate Developers
CH0008837566|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Allreal Holding AG|Real Estate Developers
FR0000033219|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Altarea SCA|Real Estate Developers
GB0000811801|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Barratt Developments PLC|Home Builders
GB0000904986|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Bellway PLC|Home Builders
GB00BLJNXL82|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Berkeley Group Holdings PLC|Real Estate Developers
SE0008091581|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Bonava AB|Real Estate Developers
GB00BYPHNG03|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Countryside Properties PLC|Home Builders
GB00B8VZXT93|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Crest Nicholson Holdings plc|Real Estate Developers
IE00BD6JX574|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Glenveagh Properties PLC|Home Builders
FR0000035081|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|ICADE|Real Estate Developers
BE0003599108|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Immobel SA|Real Estate Developers
DE000A2NBX80|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Instone Real Estate Group SE|Real Estate Developers
SE0000806994|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|JM AB|Real Estate Developers
FR0004007813|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Kaufman & Broad SA|Home Builders
ES0105251005|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Neinor Homes SA|Real Estate Developers
FR0010112524|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Nexity SA|Real Estate Developers
GB0006825383|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Persimmon PLC|Home Builders
GB00BG11K365|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Redrow PLC|Home Builders
NO0010612450|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Selvaag Bolig ASA|Home Builders
NO0003106700|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Solon Eiendom ASA|Real Estate Developers
GB0008782301|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Taylor Wimpey PLC|Home Builders
GB0001859296|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Vistry Group PLC|Home Builders
GB00BD6RF223|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|Watkin Jones PLC|Real Estate Developers
FI0009800643|CONSUMER DISCRETIONARY|HOUSING|HOUSEBUILDERS|YIT Oyj|Real Estate Developers
NL0011872650|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|Basic-Fit NV|Fitness and Recreational Sports Centers
FR0000053324|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|Cie des Alpes|Winter Sports
GB00B15FWH70|CONSUMER DISCRETIONARY|ENTERTAINMENT|VIDEO|Cineworld Group PLC|Movie Theaters
LU1048328220|CONSUMER DISCRETIONARY|TRAVEL|DISTRIBUTION|eDreams ODIGEO SA|Travel Agencies
GB00BZBX0P70|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|Gym Group PLC/The|Fitness and Recreational Sports Centers
GB00BD0NVK62|FINANCIALS|INSURANCE|INSURANCE|Hollywood Bowl Group PLC|General Amusement and Recreation Centers
GB00B1722W11|CONSUMER DISCRETIONARY|TRAVEL|DISTRIBUTION|JET2 PLC|Tour Operators
BE0974274061|CONSUMER DISCRETIONARY|ENTERTAINMENT|VIDEO|Kinepolis Group NV|Movie Theaters
GB00BYM1K758|CONSUMER DISCRETIONARY|TRAVEL|DISTRIBUTION|On the Beach Group PLC|Travel Agencies
GB00BMX64W89|CONSUMER DISCRETIONARY|TRAVEL|DISTRIBUTION|Saga PLC|Mixed Usage Travel Arrangement and Reservation
SE0012141687|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|SkiStar AB|Winter Sports
GB00BKDTK925|CONSUMER DISCRETIONARY|TRAVEL|DISTRIBUTION|Trainline PLC|Travel Agencies
DE000TUAG000|CONSUMER DISCRETIONARY|TRAVEL|DISTRIBUTION|TUI AG|Tour Operators
SE0015672282|FINANCIALS|INSURANCE|INSURANCE|Betsson AB|Online Casinos
IM00B5VQMV65|FINANCIALS|INSURANCE|INSURANCE|Entain PLC|Online Casinos
SE0012673267|FINANCIALS|INSURANCE|INSURANCE|Evolution AB|Online Gaming Systems
IE00BWT6H894|FINANCIALS|INSURANCE|INSURANCE|Flutter Entertainment PLC|Online Casinos
FR0013451333|FINANCIALS|INSURANCE|INSURANCE|La Francaise des Jeux SAEM|Lottery and Pari-Mutuel Systems
SE0008091904|FINANCIALS|INSURANCE|INSURANCE|LeoVegas AB|Online Casinos
GB00B1L5QH97|FINANCIALS|INSURANCE|INSURANCE|Rank Group PLC|Online Casinos
DE000ZEAL241|FINANCIALS|INSURANCE|INSURANCE|Zeal Network SE|Lottery and Pari-Mutuel Systems
DE000A1EWWW0|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|adidas AG|Athletic Footwear Production
IT0004764699|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Brunello Cucinelli SpA|Premium Wear Production
GB0031743007|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Burberry Group PLC|Premium Wear Production
CH0210483332|CONSUMER DISCRETIONARY|APPAREL|LUXURY|Cie Financiere Richemont SA|Jewelry and Other Accessories Production
GB00BL6NGV24|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Dr. Martens Plc|Casual and Dress Footwear Production
FR0000121667|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|EssilorLuxottica SA|Sunglasses and Prescription Frames Production
DE0005772206|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Fielmann AG|Sunglasses and Prescription Frames Production
FR0000052292|CONSUMER DISCRETIONARY|APPAREL|LUXURY|Hermes International|Leather, Handbags and Luggage Goods Production
DE000A1PHFF7|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|HUGO BOSS AG|Premium Wear Production
FR0000121485|CONSUMER DISCRETIONARY|APPAREL|LUXURY|Kering SA|Leather, Handbags and Luggage Goods Production
FR0000121014|CONSUMER DISCRETIONARY|APPAREL|LUXURY|LVMH Moet Hennessy Louis Vuitton SE|Multi-Type Apparel and Accessories Production
FI0009007660|CONSUMER DISCRETIONARY|APPAREL|LUXURY|Marimekko Oyj|Multi-Type Apparel and Accessories Production
IT0004965148|CONSUMER DISCRETIONARY|APPAREL|LUXURY|Moncler SpA|Activewear and Outerwear Apparel Production
SE0000426546|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|New Wave Group AB|Multi-Type Apparel Production
DK0060252690|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Pandora A/S|Jewelry and Gems Production
DE0006969603|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|Puma SE|Mixed Apparel and Footwear Production
IT0004712375|CONSUMER DISCRETIONARY|APPAREL|LUXURY|Salvatore Ferragamo SpA|Multi-Type Apparel and Accessories Production
CH0012255151|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Swatch Group AG/The|Watches, Clocks and Related Parts Production
CH0012255144|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Swatch Group AG/The|Watches, Clocks and Related Parts Production
IT0003007728|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Tod's SpA|Casual and Dress Footwear Production
DE0005493092|FINANCIALS|INSURANCE|INSURANCE|Borussia Dortmund GmbH & Co KGaA|Sports Teams and Sports Entertainment
DE0005470306|FINANCIALS|INSURANCE|INSURANCE|CTS Eventim AG & Co KGaA|Performing Arts and Exhibitions
IT0000336518|FINANCIALS|INSURANCE|INSURANCE|Juventus Football Club SpA|Sports Teams and Sports Entertainment
NL0009767532|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|Accell Group NV|Other Sporting and Athletic Goods
GB00BMVQDZ64|FINANCIALS|INSURANCE|INSURANCE|Auction Technology Group PLC|Auction Houses and Authentication Services
FR0000035164|FINANCIALS|INSURANCE|INSURANCE|Beneteau SA|Boat Makers
NL0013654809|CONSUMER NON-DISCRETIONARY|ELECTRICITY|TRANSMISSION|Fastned BV|Electric Vehicle Charging Stations
IT0004967292|FINANCIALS|INSURANCE|INSURANCE|Fila SpA|School, Art and Office Supplies Manufacturing
ES0137650018|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Fluidra SA|Swimming Pool and Spa Products
GB0003718474|FINANCIALS|INSURANCE|INSURANCE|Games Workshop Group PLC|Toy, Game, Hobby and Musical Instrument Products
FR0014001PM5|FINANCIALS|INSURANCE|INSURANCE|Hydrogen Refueling Solutions|Gasoline Stations
GB0004526900|FINANCIALS|INSURANCE|INSURANCE|IG Design Group Plc|Greeting Cards and Giftware Manufacturing
SE0009216278|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|MIPS AB|Team, Individual and Other Sports Manufacturing
GB00BMT9K014|FINANCIALS|INSURANCE|INSURANCE|Moonpig Group PLC|Greeting Cards and Giftware Manufacturing
FI4000410758|CONSUMER NON-DISCRETIONARY|STAPLES|BRANDED - PET|Musti Group Oyj|Pet and Pet Supply Stores
GB00BJ62K685|CONSUMER NON-DISCRETIONARY|STAPLES|BRANDED - PET|Pets at Home Group Plc|Pet and Pet Supply Stores
IT0003549422|FINANCIALS|INSURANCE|INSURANCE|Sanlorenzo SpA/Ameglia|Boat Makers
FR0000120966|FINANCIALS|INSURANCE|INSURANCE|Societe BIC SA|General Leisure Goods Manufacturing
SE0015988167|CONSUMER NON-DISCRETIONARY|STAPLES|BRANDED - PET|SwedenCare AB|Pet Supplies Manufacturing
DE0007446007|FINANCIALS|INSURANCE|INSURANCE|Takkt AG|Office Supplies and Stationery Stores
IT0005162406|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|Technogym SpA|Fitness and Exercise Equipment
SE0006422390|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|Thule Group AB|Other Sporting and Athletic Goods
GB00BDGT2M75|FINANCIALS|INSURANCE|INSURANCE|Vivo Energy PLC|Gasoline Stations
GB00BJDQQ870|CONSUMER DISCRETIONARY|APPAREL|LUXURY|Watches of Switzerland Group PLC|Jewelry Stores
GB00B2PDGW16|FINANCIALS|INSURANCE|INSURANCE|WH Smith PLC|Office Supplies and Stationery Stores
DE0005111702|CONSUMER NON-DISCRETIONARY|STAPLES|BRANDED - PET|zooplus AG|Internet Pet and Pet Supply Retail
GB00BJTNFH41|CONSUMER DISCRETIONARY|ENTERTAINMENT|CONSUMER ELECTRONICS|AO World PLC|Internet Electronics Retail
GB0030927254|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|ASOS PLC|Internet Apparel Retail
SE0010948588|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|BHG Group AB|Internet Building Materials / Garden Supply Retail
JE00BG6L7297|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|boohoo Group PLC|Internet Apparel Retail
SE0009888738|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Boozt AB|Internet Apparel Retail
SE0003303627|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Byggmax Group AB|Home Centers and Hardware Stores
DE0007257503|CONSUMER DISCRETIONARY|ENTERTAINMENT|CONSUMER ELECTRONICS|CECONOMY AG|Consumer Electronics Stores
SE0000584948|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Clas Ohlson AB|Home Centers and Hardware Stores
GB00B4Y7R145|CONSUMER DISCRETIONARY|ENTERTAINMENT|CONSUMER ELECTRONICS|Currys PLC|General Electronics Retail
SE0015657853|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Desenio Group AB|Internet Entertainment Retail
GB00B1CKQ739|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Dunelm Group PLC|Home Decor and Furnishings Stores
FR0011476928|CONSUMER DISCRETIONARY|ENTERTAINMENT|CONSUMER ELECTRONICS|Fnac Darty SA|General Electronics Retail
GB00B1QH8P22|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|Frasers Group PLC|Sporting Goods Stores
LU2010095458|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Global Fashion Group SA|Internet Apparel Retail
SE0000106270|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|H & M Hennes & Mauritz AB|All Apparel Retail
DE000A14KEB5|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Home24 SE|Internet Furniture and Home Furnishings Retail
DE0006084403|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Hornbach Baumarkt AG|Home Centers and Hardware Stores
DE0006083405|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Hornbach Holding AG & Co KGaA|Home Centers and Hardware Stores
ES0148396007|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Industria de Diseno Textil SA|All Apparel Retail
GB00BM8Q5M07|CONSUMER DISCRETIONARY|APPAREL|SPORTSWEAR|JD Sports Fashion PLC|Casual, Young Adult/Teen, and Specialty
NO0010743545|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Kid ASA|Home Decor and Furnishings Stores
GB0033195214|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Kingfisher PLC|Home Centers and Hardware Stores
FR0013153541|CONSUMER DISCRETIONARY|HOUSING|RENOVATION - NON INDOOR CLIMATE|Maisons du Monde SA|Home Decor and Furnishings Stores
GB0032089863|CONSUMER DISCRETIONARY|APPAREL|GENERAL APPAREL|Next PLC|Internet Department Stores
